"-4144","539 WEST 112 STREET, New York City, NY,  ","Match","Exact","539 W 112TH ST, NEW YORK, NY, 10025","-73.964325,40.80485","639467241","R","36","061","019900","4000"
"-527","148 ST JAMES PLACE, New York City, NY,  ","Match","Non_Exact","148 JAMES ST, NEW YORK, NY, 10038","-73.99873,40.71209","59653833","L","36","061","002700","1006"
"8517","1679 EAST 3 STREET, New York City, NY,  ","No_Match"
"-4145","322 EAST 39 STREET, New York City, NY,  ","Match","Exact","322 E 39TH ST, NEW YORK, NY, 10016","-73.97256,40.74748","59654508","R","36","061","007800","7000"
"8514","1715 KINGS HIGHWAY, New York City, NY,  ","No_Match"
"-528","273 GATES AVENUE, New York City, NY,  ","No_Match"
"-523","54 LIVINGSTON STREET, New York City, NY,  ","No_Match"
"-522","359 BROADWAY, New York City, NY,  ","No_Match"
"9849","231 EAST 24 STREET, New York City, NY,  ","Match","Exact","231 E 24TH ST, NEW YORK, NY, 10010","-73.9819,40.73918","59654553","L","36","061","006600","5000"
"-524","318 MARCY AVENUE, New York City, NY,  ","No_Match"
"7200","113 NASSAU STREET, New York City, NY,  ","Match","Exact","113 NASSAU ST, NEW YORK, NY, 10038","-74.00706,40.71082","59660381","L","36","061","001501","1006"
"9860","155 AUDUBON AVENUE, New York City, NY,  ","Match","Exact","155 AUDUBON AVE, NEW YORK, NY, 10032","-73.93626,40.843365","59655800","R","36","061","025300","1000"
"7202","218 EAST 11 STREET, New York City, NY,  ","Match","Exact","218 E 11TH ST, NEW YORK, NY, 10003","-73.98774,40.73095","59653709","R","36","061","004000","3000"
"7201","43 1 AVENUE, New York City, NY,  ","Match","Exact","43 1ST AVE, NEW YORK, NY, 10003","-73.987656,40.72438","59654059","L","36","061","003602","1000"
"9866","207 EAST 37 STREET, New York City, NY,  ","Match","Exact","207 E 37TH ST, NEW YORK, NY, 10016","-73.976364,40.747475","640866853","L","36","061","007800","2002"
"8535","22-30 MOTT AVENUE, New York City, NY,  ","Match","Non_Exact","22 MOTT ST, NEW YORK, NY, 10013","-73.99878,40.71442","59653818","R","36","061","002900","3003"
"9863","321 WEST 29 STREET, New York City, NY,  ","Match","Exact","321 W 29TH ST, NEW YORK, NY, 10001","-73.99646,40.749355","59653287","R","36","061","009700","4000"
"8532","39-09 112 STREET, New York City, NY,  ","Tie"
"8533","144-30 35 AVENUE, New York City, NY,  ","No_Match"
"231","219 MULBERRY STREET, New York City, NY,  ","Match","Exact","219 MULBERRY ST, NEW YORK, NY, 10012","-73.99616,40.722237","59653952","L","36","061","004300","3005"
"232","19 EAST 21 STREET, New York City, NY,  ","Match","Exact","19 E 21ST ST, NEW YORK, NY, 10010","-73.98895,40.73961","59653620","L","36","061","005600","3000"
"234","100 SULLIVAN STREET, New York City, NY,  ","Match","Exact","100 SULLIVAN ST, NEW YORK, NY, 10012","-74.0033,40.725357","59660272","L","36","061","004900","2000"
"235","30 GRAND STREET, New York City, NY,  ","Match","Exact","30 GRAND ST, NEW YORK, NY, 10013","-74.004555,40.72277","59660202","L","36","061","004700","2002"
"239","209 8 AVENUE, New York City, NY,  ","No_Match"
"9858","2115 SOUTHERN BOULEVARD, New York City, NY,  ","No_Match"
"8528","86-16 56 AVENUE, New York City, NY,  ","No_Match"
"8525","102-30 67 AVENUE, New York City, NY,  ","No_Match"
"9856","530 EAST 89 STREET, New York City, NY,  ","Match","Exact","530 E 89TH ST, NEW YORK, NY, 10128","-73.9451,40.777596","647337151","R","36","061","014402","3001"
