"2394","122 EAST 104 STREET, New York City, NY,  ","Match","Exact","122 E 104TH ST, NEW YORK, NY, 10029","-73.94822,40.79135","59657897","R","36","061","016600","5001"
"1062","12 CROWN STREET, New York City, NY,  ","No_Match"
"1058","5718 FT HAMILTON PARKWAY, New York City, NY,  ","No_Match"
"2388","346 MANHATTAN AVENUE, New York City, NY,  ","Match","Exact","346 MANHATTAN AVE, NEW YORK, NY, 10026","-73.95758,40.803986","59657648","R","36","061","020102","2001"
"-17025","221 EAST 33 STREET, New York City, NY,  ","Match","Exact","221 E 33RD ST, NEW YORK, NY, 10016","-73.978035,40.74482","59654450","L","36","061","007000","1000"
"2387","213 WEST 135 STREET, New York City, NY,  ","Match","Exact","213 W 135TH ST, NEW YORK, NY, 10030","-73.944214,40.81553","59656154","R","36","061","022800","3000"
"-8513","1313 YORK AVENUE, New York City, NY,  ","Match","Exact","1313 YORK AVE, NEW YORK, NY, 10021","-73.95474,40.7655","59658449","L","36","061","012400","5000"
"-9845","34 BERRY STREET, New York City, NY,  ","No_Match"
"-8514","402 EAST 72 STREET, New York City, NY,  ","Match","Exact","402 E 72ND ST, NEW YORK, NY, 10021","-73.955925,40.767765","650084675","R","36","061","012400","3000"
"-9846","48 MESEROLE STREET, New York City, NY,  ","No_Match"
"-9842","354 PENNSYLVANIA AVENUE, New York City, NY,  ","No_Match"
"-8511","500 EAST 77 STREET, New York City, NY,  ","Match","Exact","500 E 77TH ST, NEW YORK, NY, 10162","-73.95129,40.77002","59658401","R","36","061","013200","6000"
"-9843","1725 EMMONS AVENUE, New York City, NY,  ","No_Match"
"-8512","408 EAST 78 STREET, New York City, NY,  ","Match","Exact","408 E 78TH ST, NEW YORK, NY, 10075","-73.95286,40.77151","59658333","R","36","061","013200","2001"
"-11739","325 WEST 93 STREET, New York City, NY,  ","Match","Exact","325 W 93RD ST, NEW YORK, NY, 10025","-73.97501,40.7935","650152704","R","36","061","017900","1000"
"-10408","1452 CARROLL STREET, New York City, NY,  ","No_Match"
"4102","51-23 QUEENS BOULEVARD, New York City, NY,  ","No_Match"
"1077","3046 WEST 22 STREET, New York City, NY,  ","No_Match"
"1075","25 WASHINGTON STREET, New York City, NY,  ","Tie"
"1072","130 OCEAN PARKWAY, New York City, NY,  ","No_Match"
"1071","409 HEWES STREET, New York City, NY,  ","No_Match"
"-17038","131 EAST 23 STREET, New York City, NY,  ","Match","Exact","131 E 23RD ST, NEW YORK, NY, 10010","-73.98496,40.7396","59653646","L","36","061","006800","2000"
"1069","311 LINCOLN PLACE, New York City, NY,  ","No_Match"
"-9855","1597 BEDFORD AVENUE, New York City, NY,  ","No_Match"
"-8524","1191 2 AVENUE, New York City, NY,  ","No_Match"
"-10402","324 ROEBLING STREET, New York City, NY,  ","No_Match"
"-8525","157 EAST 57 STREET, New York City, NY,  ","Match","Exact","157 E 57TH ST, NEW YORK, NY, 10022","-73.9686,40.76071","59657492","L","36","061","011203","1001"
"-10401","50 MALCOLM X BOULEVARD, New York City, NY,  ","Match","Exact","50 MALCOLM X BLVD, NEW YORK, NY, 10026","-73.9515,40.799496","609884337","R","36","061","018600","3001"
"-8526","334 EAST 74 STREET, New York City, NY,  ","Match","Exact","334 E 74TH ST, NEW YORK, NY, 10021","-73.956505,40.769733","650073009","R","36","061","012600","6000"
"-11731","134 EAST 122 STREET, New York City, NY,  ","Match","Exact","134 E 122ND ST, NEW YORK, NY, 10035","-73.93943,40.802692","59658024","R","36","061","019600","1001"
"-10400","1675 LINCOLN PLACE, New York City, NY,  ","No_Match"
"-8527","416 EAST 71 STREET, New York City, NY,  ","Match","Exact","416 E 71ST ST, NEW YORK, NY, 10021","-73.95613,40.766956","650072032","R","36","061","012400","4000"
"-11738","210 WEST 104 STREET, New York City, NY,  ","Match","Exact","210 W 104TH ST, NEW YORK, NY, 10025","-73.96713,40.799324","59656836","L","36","061","019100","6000"
"-9851","816 56 STREET, New York City, NY,  ","No_Match"
"-10406","1583 PROSPECT PLACE, New York City, NY,  ","No_Match"
"-10404","419 16 STREET, New York City, NY,  ","Match","Non_Exact","419 W 16TH ST, NEW YORK, NY, 10011","-74.00582,40.74288","59659718","R","36","061","008300","3001"
"-10419","1022 EAST 93 STREET, New York City, NY,  ","No_Match"
"1088","198 JOHNSON AVENUE, New York City, NY,  ","No_Match"
"-17054","135 3 AVENUE, New York City, NY,  ","No_Match"
"1085","901 80 STREET, New York City, NY,  ","No_Match"
"-17050","21 GRAMERCY PARK SOUTH, New York City, NY,  ","Match","Non_Exact","21 GRAMERCY PARK W, NEW YORK, NY, 10003","-73.986496,40.73842","59653655","L","36","061","005000","1001"
"1081","128 LINDEN BOULEVARD, New York City, NY,  ","No_Match"
"-17051","66 WEST 10 STREET, New York City, NY,  ","Match","Exact","66 W 10TH ST, NEW YORK, NY, 10011","-73.99759,40.73431","650084349","L","36","061","006300","3000"
"-8530","330 EAST 52 STREET, New York City, NY,  ","Match","Exact","330 E 52ND ST, NEW YORK, NY, 10022","-73.96685,40.755806","650074900","R","36","061","009800","6001"
"-11741","114 WEST 16 STREET, New York City, NY,  ","Match","Exact","114 W 16TH ST, NEW YORK, NY, 10011","-73.996445,40.738922","59653323","L","36","061","008100","3000"
"-10414","47 MAC DONOUGH STREET, New York City, NY,  ","No_Match"
"-8535","350 EAST 79 STREET, New York City, NY,  ","Match","Exact","350 E 79TH ST, NEW YORK, NY, 10075","-73.95387,40.77283","650088524","R","36","061","013400","3000"
"4104","34-43 CRESCENT STREET, New York City, NY,  ","No_Match"
"-10412","104 2 PLACE, New York City, NY,  ","Match","Non_Exact","104 2ND AVE, NEW YORK, NY, 10003","-73.9885,40.727448","59654049","R","36","061","003800","6000"
"-10411","100 ADELPHI STREET, New York City, NY,  ","No_Match"
"-9869","1685 OCEAN AVENUE, New York City, NY,  ","No_Match"
"-8538","1080 PARK AVENUE, New York City, NY,  ","No_Match"
"4107","41-28 44 STREET, New York City, NY,  ","Tie"
"-11749","235 EAST 46 STREET, New York City, NY,  ","Match","Exact","235 E 46TH ST, NEW YORK, NY, 10017","-73.97183,40.75301","650071396","L","36","061","009000","6000"
"-9862","417 40 STREET, New York City, NY,  ","Match","Non_Exact","417 W 40TH ST, NEW YORK, NY, 10018","-73.993835,40.757263","59655206","R","36","061","011500","2003"
"-11748","56 WEST 65 STREET, New York City, NY,  ","Match","Exact","56 W 65TH ST, NEW YORK, NY, 10023","-73.98079,40.772446","59657048","L","36","061","014900","3000"
"-10417","505 LINCOLN PLACE, New York City, NY,  ","No_Match"
"4109","23-39 125 STREET, New York City, NY,  ","Tie"
"-9864","767 PROSPECT PLACE, New York City, NY,  ","No_Match"
"-11746","178 EAST 70 STREET, New York City, NY,  ","Match","Exact","178 E 70TH ST, NEW YORK, NY, 10021","-73.96223,40.768715","59657386","R","36","061","012000","4000"
"4124","106-10 SHORE FRONT PARKWAY, New York City, NY,  ","No_Match"
"1097","2060 PITKIN AVENUE, New York City, NY,  ","No_Match"
"1096","385 LIBERTY AVENUE, New York City, NY,  ","No_Match"
"1094","8313 BAY PARKWAY, New York City, NY,  ","No_Match"
"1093","996 HEGEMAN AVENUE, New York City, NY,  ","No_Match"
"-10420","136 HICKS STREET, New York City, NY,  ","No_Match"
"4114","22-11 BROOKHAVEN AVENUE, New York City, NY,  ","No_Match"
"-9877","435 SCHENCK AVENUE, New York City, NY,  ","No_Match"
"-10424","2075 79 STREET, New York City, NY,  ","No_Match"
"-11754","1673 YORK AVENUE, New York City, NY,  ","Match","Exact","1673 YORK AVE, NEW YORK, NY, 10128","-73.946144,40.777283","59658376","L","36","061","014402","5000"
"-11753","3 WEST 101 STREET, New York City, NY,  ","Match","Exact","3 W 101ST ST, NEW YORK, NY, 10025","-73.962494,40.794918","59656914","R","36","061","018900","2001"
"-10422","178 BAY 23 STREET, New York City, NY,  ","Tie"
"-10428","1719 UNION STREET, New York City, NY,  ","No_Match"
"-9875","699 OCEAN AVENUE, New York City, NY,  ","No_Match"
"-10426","18 EAST 21 STREET, New York City, NY,  ","Match","Exact","18 E 21ST ST, NEW YORK, NY, 10010","-73.98905,40.739635","59653620","R","36","061","005200","1000"
"-8545","449 EAST 83 STREET, New York City, NY,  ","Match","Exact","449 E 83RD ST, NEW YORK, NY, 10028","-73.94967,40.774456","650090216","L","36","061","013600","1000"
"-9808","34-21 77 STREET, New York City, NY,  ","Tie"
"4131","44-41 PURVES STREET, New York City, NY,  ","No_Match"
"4133","23-12 30 DRIVE, New York City, NY,  ","No_Match"
"-9805","63-19 AUSTIN STREET, New York City, NY,  ","No_Match"
"-9807","224-65 64 AVENUE, New York City, NY,  ","No_Match"
"-15297","1600 AVENUE T, New York City, NY,  ","No_Match"
"-15291","675 AVENUE Z, New York City, NY,  ","No_Match"
"-15292","2611 EAST 13 STREET, New York City, NY,  ","No_Match"
"-15287","2625 EAST 13 STREET, New York City, NY,  ","No_Match"
"-15289","2685 HOMECREST AVENUE, New York City, NY,  ","No_Match"
"-9800","47-01 49 STREET, New York City, NY,  ","Tie"
"4127","23-25 30 DRIVE, New York City, NY,  ","No_Match"
"-9802","143-01 41 AVENUE, New York City, NY,  ","No_Match"
"4143","88-23 179 STREET, New York City, NY,  ","No_Match"
"-9817","153-01 HOR HARDING EXPWY, New York City, NY,  ","No_Match"
"-9818","84-10 120 STREET, New York City, NY,  ","Tie"
"200","172 MONTAGUE STREET, New York City, NY,  ","No_Match"
"201","502 OCEAN VIEW AVENUE, New York City, NY,  ","No_Match"
"202","3030 OCEAN AVENUE, New York City, NY,  ","No_Match"
"203","2315 CROPSEY AVENUE, New York City, NY,  ","No_Match"
"204","1510 OCEAN PARKWAY, New York City, NY,  ","No_Match"
"205","110 BROADWAY, New York City, NY,  ","No_Match"
"206","1753 47 STREET, New York City, NY,  ","No_Match"
"-9811","143-20 37 AVENUE, New York City, NY,  ","No_Match"
