"-14830","365 WEST END AVENUE, New York City, NY,  ","Match","Exact","365 W END AVE, NEW YORK, NY, 10024","-73.98198,40.78324","59656643","L","36","061","016300","1005"
"-14812","306 WEST 80 STREET, New York City, NY,  ","Match","Exact","306 W 80TH ST, NEW YORK, NY, 10024","-73.98085,40.785095","59656628","L","36","061","016700","2000"
"-14811","82 FULTON STREET, New York City, NY,  ","Match","Exact","82 FULTON ST, NEW YORK, NY, 10038","-74.00568,40.709167","59660471","L","36","061","001502","1004"
"-14813","14 5 AVENUE, New York City, NY,  ","Match","Exact","14 5TH AVE, NEW YORK, NY, 10011","-73.99614,40.732555","59653548","L","36","061","006300","4000"
"1055","5-09 48 AVENUE, New York City, NY,  ","No_Match"
"1054","43-43 ASH AVENUE, New York City, NY,  ","No_Match"
"1053","41-32 44 STREET, New York City, NY,  ","Tie"
"1052","36-20 194 STREET, New York City, NY,  ","No_Match"
"1051","69-07 43 AVENUE, New York City, NY,  ","No_Match"
"1050","35-06 LEAVITT STREET, New York City, NY,  ","No_Match"
"-14821","333 EAST 49 STREET, New York City, NY,  ","Match","Exact","333 E 49TH ST, NEW YORK, NY, 10017","-73.96814,40.7539","59658725","L","36","061","009800","4000"
"1049","64-48 BOOTH STREET, New York City, NY,  ","No_Match"
"-14820","25 CLAREMONT AVENUE, New York City, NY,  ","Match","Exact","25 CLAREMONT AVE, NEW YORK, NY, 10027","-73.96446,40.80913","639467133","L","36","061","020500","1009"
"1048","175-24 89 AVENUE, New York City, NY,  ","No_Match"
"1047","10-55 47 AVENUE, New York City, NY,  ","No_Match"
"1046","102-02 ROCKAWAY BEACH BOULEVARD, New York City, NY,  ","No_Match"
"1045","143-36 37 AVENUE, New York City, NY,  ","No_Match"
"-14829","90 LEXINGTON AVENUE, New York City, NY,  ","Match","Exact","90 LEXINGTON AVE, NEW YORK, NY, 10016","-73.98312,40.74175","59654536","L","36","061","006800","1001"
"-14823","400 EAST 66 STREET, New York City, NY,  ","Match","Exact","400 E 66TH ST, NEW YORK, NY, 10065","-73.9586,40.76391","59657572","R","36","061","011600","2000"
"-14822","700 AMSTERDAM AVENUE, New York City, NY,  ","Match","Exact","700 AMSTERDAM AVE, NEW YORK, NY, 10025","-73.97136,40.792706","59656734","L","36","061","017900","6000"
"-20680","17 JOHN STREET, New York City, NY,  ","Match","Exact","17 JOHN ST, NEW YORK, NY, 10038","-74.00894,40.70991","59659641","L","36","061","001502","1000"
"-20682","325 NORTH END AVENUE, New York City, NY,  ","Tie"
"-20684","90 WEST STREET, New York City, NY,  ","Match","Exact","90 WEST ST, NEW YORK, NY, 10004","-74.01648,40.705994","639443120","R","36","061","031704","4005"
